id,securityId,currentPrice,vwap,high52w,low52w,beta,avgVolume,shortFloat,marketCap,peLtm,priceToTangBook,peNtm,priceToBook,debtToEbitda,eps,source,createdAt,updatedAt,bookValue,bookValuePerShare,cashAndEquivalents,dataQuality,dayChange,dayPctChange,ebitda,enterpriseValue,epsNtm,epsTtm,floatShares,fundamentalsAsOf,fundamentalsSource,grossProfit,lastFundamentalsRefreshAt,lastMarketDataRefreshAt,lastShortInterestRefreshAt,marketDataSource,netIncome,netIncomeTtm,operatingIncome,revenue,revenueTtm,shareholdersEquity,sharesOutstanding,shortInterestAsOf,shortInterestShares,shortInterestSource,snapshotAsOf,sourceDetailJson,tangibleBookValue,tangibleBookValuePerShare,totalAssets,totalDebt,totalLiabilities,volume
cmr3r6dbx006f14nz4ex6tgko,cmr3r6cto000e14nz1602nk51,74.22,67.424,101.99,67.19,1.18,8905582.0,0.82,151082158745.0,8.60023174971031,9.5467022031329,27.9,6.10655687770191,0.128391472868217,6.12,FMP,1783011778557,1783018817830,24751000000.0,12.1541486448795,5558000000.0,CALCULATED,1.24,0.64,82560000000.0,156124158745.0,6.48,8.63,61920000000.0,1774915200000,SEC_EDGAR,12384000000.0,1783018538467,1783011778556,,FMP,263000000.0,18001000000.0,1923000000.0,13203000000.0,76972000000.0,24751000000.0,68800000000.0,1783011778556,12000000.0,MOCK,1783011778556,,15832000000.0,7.77441240134667,59885000000.0,10600000000.0,34073000000.0,58400000.0
cmr3r6dc6006h14nzrklulag1,cmr3r6cts000f14nza2ch4pkk,316.7,310.366,386.374,228.024,1.18,58400000.0,0.82,316700000000.0,-257.479674796748,17.5944444444444,27.9,13.1958333333333,0.125,6.12,MOCK,1783011778567,1783018531431,4633877000.0,24.0,4552801000.0,CALCULATED,1.24,0.64,380040000000.0,359652199000.0,6.48,-1.23,285030000000.0,1777507200000,SEC_EDGAR,1043352000.0,1783018531429,1783011778564,,MOCK,27774000.0,-305777000.0,-30600000.0,126680000000.0,126680000000.0,4633877000.0,316700000000.0,1783011778564,12000000.0,MOCK,1783011778564,,2366384000.0,18.0,11270100000.0,47505000000.0,6594768000.0,58400000.0
cmr3r6dcd006j14nzgourh13d,cmr3r6ctz000g14nzivhon6e5,142.5,139.65,173.85,102.6,1.18,58400000.0,0.82,142500000000.0,-25.1766784452297,127.651776737647,27.9,25.6694512557027,0.125,6.12,MOCK,1783011778573,1783018537571,1924102000.0,5.55134578376866,2084715000.0,CALCULATED,1.24,0.64,171000000000.0,161790285000.0,6.48,-5.66,128250000000.0,1777507200000,SEC_EDGAR,926451000.0,1783018537570,1783011778572,,MOCK,-295571000.0,-1909611000.0,-326154000.0,1390951000.0,7148781000.0,1924102000.0,142500000000.0,1783011778572,12000000.0,MOCK,1783011778572,,386917000.0,1.11631818719507,8554256000.0,21375000000.0,6614534000.0,58400000.0
cmr3r6dci006l14nzl4gx2o3h,cmr3r6cu4000h14nzk43ume26,166.46,241.276,444.65,139.18,1.18,6772605.0,0.82,43855467205.0,12.5630188679245,4.72891770266854,27.9,3.25263585309022,0.024370430544273,6.12,FMP,1783011778579,1783018810594,13480573000.0,51.1769554042922,10205022000.0,CALCULATED,1.24,0.64,295440000000.0,40850445205.0,6.48,13.25,221580000000.0,1774915200000,SEC_EDGAR,44316000000.0,1783018531041,1783011778578,,FMP,-394117000.0,3394395000.0,-21421000.0,1412982000.0,10179079000.0,13480573000.0,246200000000.0,1783011778578,12000000.0,MOCK,1783011778578,,9272184000.0,35.2004434135249,28848792000.0,7200000000.0,15368219000.0,58400000.0
cmr3r6dcp006n14nzw3ab7mp3,cmr3r6cue000i14nz3tsrj74t,18.645,13.524,22.69,11.57,1.18,67088558.0,0.82,23427540029.0,-3.98397435897436,3.98248855738261,27.9,3.98248855738261,0.333695652173913,6.12,FMP,1783011778585,1783018816408,5899000000.0,4.68174603174603,2845000000.0,CALCULATED,1.24,0.64,16560000000.0,26108540029.0,6.48,-4.68,12420000000.0,1774915200000,SEC_EDGAR,119000000.0,1783018536807,1783011778584,,FMP,-416000000.0,-5541000000.0,-881000000.0,1381000000.0,8343000000.0,5899000000.0,13800000000.0,1783011778584,12000000.0,MOCK,1783011778584,,5899000000.0,4.68174603174603,14233000000.0,5526000000.0,9804000000.0,58400000.0
cmr3r6dcy006p14nz97h05zky,cmr3r6cuo000j14nz9mxlh0aw,130.83,60.858,207.52,106.37,1.18,45545644.0,0.82,300394838100.0,115.778761061947,37.2833051948322,27.9,37.115907508974,0.125,6.12,FMP,1783011778594,1783018815756,8449663000.0,3.52490370788771,2291631000.0,CALCULATED,1.24,0.64,74520000000.0,307418207100.0,6.48,1.13,55890000000.0,1774915200000,SEC_EDGAR,1416785000.0,1783018536014,1783011778593,,FMP,870527000.0,2689210000.0,753998000.0,1632583000.0,6886016000.0,8449663000.0,62100000000.0,1783011778593,12000000.0,MOCK,1783011778593,,8411725000.0,3.50907730192693,10199183000.0,9315000000.0,1642902000.0,58400000.0
cmr3r6ddf006r14nz6vgkh9tl,cmr3r6cv0000k14nzf7zh7yvp,104.4,102.312,127.368,75.168,1.18,58400000.0,0.82,104400000000.0,8.71452420701169,5.8,27.9,4.35,0.0392560664112388,6.12,MOCK,1783011778611,1783018531855,3720000000.0,24.0,2410000000.0,CALCULATED,1.24,0.64,125280000000.0,106908000000.0,6.48,11.98,93960000000.0,1553990400000,SEC_EDGAR,1271000000.0,1783018531853,1783011778608,,MOCK,250000000.0,1134000000.0,581000000.0,755234000.0,3136070000.0,3720000000.0,104400000000.0,1783011778608,12000000.0,MOCK,1783011778608,,3710000000.0,18.0,13771000000.0,4918000000.0,9139000000.0,58400000.0
cmr3r6ddu006t14nzbwpimzok,cmr3r6cv6000l14nzd4v5v0n3,24.8,24.304,30.256,17.856,1.18,58400000.0,0.82,24800000000.0,11.9806763285024,1.90475342770579,27.9,1.90475342770579,0.139929435483871,6.12,MOCK,1783011778626,1783018532723,5842100000.0,13.0200579451749,7397600000.0,CALCULATED,1.24,0.64,29760000000.0,21566700000.0,6.48,2.07,22320000000.0,1777680000000,SEC_EDGAR,340300000.0,1783018532722,1783011778625,,MOCK,389600000.0,925800000.0,143300000.0,835300000.0,5154100000.0,5842100000.0,24800000000.0,1783011778625,12000000.0,MOCK,1783011778625,,5842100000.0,13.0200579451749,10974300000.0,4164300000.0,5132200000.0,58400000.0
cmr3r6de9006v14nzfpetv1ns,cmr3r6cvb000m14nzeecizn5l,584.71,335.16,796.25,520.26,1.18,14868426.0,0.82,1484241484235.0,17.2531720271467,32.4838888888889,27.9,24.3629166666667,0.143138401559454,6.12,FMP,1783011778641,1783018814452,243681000000.0,24.0,23426000000.0,CALCULATED,1.24,0.64,410400000000.0,1519559484235.0,6.48,33.89,307800000000.0,1538265600000,SEC_EDGAR,61560000000.0,1783018534205,1783011778640,,FMP,26773000000.0,85509000000.0,22872000000.0,38924000000.0,91079000000.0,243681000000.0,342000000000.0,1783011778640,12000000.0,MOCK,1783011778640,,218933000000.0,18.0,395250000000.0,58744000000.0,151569000000.0,58400000.0
cmr3r6der006x14nzeeevj17s,cmr3r6cvg000n14nz8vqlylxh,98.54,101.92,124.61,92.19,1.18,5730024.0,0.82,171115835721.0,12.0907975460123,5.50243931111503,27.9,1.72228354858888,0.336746794871795,6.12,FMP,1783011778659,1783018812607,108708000000.0,57.2147368421053,5682000000.0,CALCULATED,1.24,0.64,124800000000.0,207459835721.0,6.48,8.15,93600000000.0,1774656000000,SEC_EDGAR,18720000000.0,1783018532300,1783011778656,,FMP,4649000000.0,14560000000.0,9203000000.0,51149000000.0,125948000000.0,108708000000.0,104000000000.0,1783011778656,12000000.0,MOCK,1783011778656,,34026000000.0,17.9084210526316,205217000000.0,42026000000.0,26000000000.0,58400000.0
cmr3r6dez006z14nz7nwd5qe6,cmr3r6cvk000o14nzjhx9vcbz,45.23,57.82,79.5,38.46,1.18,7796546.0,0.82,39897631045.0,5.83612903225806,4.44427847543512,27.9,2.01484019176988,0.15361581920904,6.12,FMP,1783011778668,1783018816084,20024000000.0,22.4484304932735,6977000000.0,CALCULATED,1.24,0.64,70800000000.0,43796631045.0,6.48,7.75,53100000000.0,1774915200000,SEC_EDGAR,10620000000.0,1783018536443,1783011778667,,FMP,1113000000.0,7418000000.0,1488000000.0,8353000000.0,49554000000.0,20024000000.0,59000000000.0,1783011778667,12000000.0,MOCK,1783011778667,,9078000000.0,10.1771300448431,80546000000.0,10876000000.0,60522000000.0,58400000.0
cmr3r6df4007114nzin4j7nlm,cmr3r6cvo000p14nzn5eg40n9,120.2,32.83,142.35,18.97,1.18,88784744.0,0.82,604125200000.0,-279.53488372093,6.63995644953755,27.9,5.42008187155502,1.15883084577114,6.12,FMP,1783011778673,1783018813418,111394000000.0,22.1767867808083,17247000000.0,CALCULATED,1.24,0.64,40200000000.0,633463200000.0,6.48,-0.43,30150000000.0,1530316800000,SEC_EDGAR,5347000000.0,1783018533282,1783011778672,,FMP,-3728000000.0,-2259000000.0,-3136000000.0,33028000000.0,82205000000.0,111394000000.0,33500000000.0,1783011778672,12000000.0,MOCK,1783011778672,,90929000000.0,18.1025283695003,205332000000.0,46585000000.0,8375000000.0,58400000.0
